,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.2108575924468922,0.15420928402832415,0.8701809598741149,0.8609836119248383,0.8701809598741149,0.8611425918081714,0.6056020150555881,0.46764660642917427,0.5006684722328821
1,KNN,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
2,KNN,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
3,KNN,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
4,KNN,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
5,KNN,c,0.3723487824037706,0.2356637863315004,0.8326787117046347,0.8311250911381687,0.8326787117046347,0.8314765812493419,0.8114221685696011,0.7959486612360823,0.8031923033801197
6,KNN,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
7,KNN,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
8,DT,av,0.22344610542879623,0.16522423288749016,0.8599527930763179,0.8533837081482504,0.8599527930763179,0.8475015278261637,0.6081113325369887,0.44992027515347505,0.48918689492960526
9,DT,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
10,DT,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
