,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.19288537549407114,0.14071146245059288,0.8798418972332016,0.8782323301765049,0.8798418972332016,0.8754189663966679,0.8138542264338773,0.5638693398799781,0.6085932934989539
1,KNN,ac,0.07311320754716981,0.07311320754716981,0.9268867924528302,0.911171948920415,0.9268867924528302,0.9122214767464781,0.7736026629153375,0.6157114127702363,0.6554582443795272
2,KNN,pr,0.6276512175962293,0.3527101335428123,0.7847604084838963,0.7787602822313161,0.7847604084838963,0.777935254008432,0.6917161504503307,0.6610004455564314,0.6725869049245609
3,KNN,ui,0.10770440251572327,0.10770440251572327,0.8922955974842768,0.8926529672032573,0.8922955974842768,0.8900915455827183,0.8938481052798477,0.8627976190476191,0.8753496902411477
4,KNN,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
5,KNN,c,0.40172955974842767,0.24921383647798742,0.8270440251572327,0.8308437059322737,0.8270440251572327,0.8218234339457668,0.8405825383931314,0.7658764971699603,0.7948194351247483
6,KNN,i,0.30386740331491713,0.20757695343330704,0.840568271507498,0.8408820343723862,0.840568271507498,0.8394308579138967,0.8427928032633781,0.8167757324878385,0.8281635671117451
7,KNN,a,0.16666666666666666,0.14779874213836477,0.8616352201257862,0.8466984177071478,0.8616352201257862,0.8541010576540428,0.571373117355598,0.5812886082065086,0.5762878886714503
8,DT,av,0.20237154150197628,0.14387351778656127,0.8798418972332016,0.871219107942296,0.8798418972332016,0.8734256494792879,0.6343360214955847,0.48159983633387893,0.5160181922571997
9,DT,ac,0.07311320754716981,0.07311320754716981,0.9268867924528302,0.911171948920415,0.9268867924528302,0.9122214767464781,0.7736026629153375,0.6157114127702363,0.6554582443795272
10,DT,pr,0.6488609583660644,0.3519245875883739,0.7965435978004713,0.7891433884076814,0.7965435978004713,0.7857524682959686,0.7630039199337552,0.660764643383487,0.6980231283332671
11,DT,ui,0.11320754716981132,0.11320754716981132,0.8867924528301887,0.8882550612863241,0.8867924528301887,0.8873345946238995,0.8716788321167883,0.8788690476190476,0.8750460472997863
12,DT,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
13,DT,c,0.4025157232704403,0.25,0.8262578616352201,0.830399450132662,0.8262578616352201,0.8208444191299691,0.840808872524364,0.7639591516503894,0.7935443842328849
14,DT,i,0.3180741910023678,0.2154696132596685,0.8358326756116812,0.836579863734673,0.8358326756116812,0.8343724569503732,0.8396138013911995,0.8089045982278451,0.8220239098339852
15,DT,a,0.17767295597484276,0.15251572327044025,0.860062893081761,0.8470678356390405,0.860062893081761,0.8535084183662066,0.5720671179521073,0.5801825143371887,0.5760909448274387
16,SVC,av,0.20474308300395258,0.14308300395256918,0.8806324110671937,0.8783542464854124,0.8806324110671937,0.8754729628859875,0.8196237050674973,0.543000545553737,0.595545470905815
17,SVC,ac,0.07311320754716981,0.07311320754716981,0.9268867924528302,0.9109706228216076,0.9268867924528302,0.9115114035997758,0.7760621373760059,0.611236802413273,0.650861954471804
18,SVC,pr,0.6465043205027494,0.3479968578161822,0.8012568735271013,0.7960075129020547,0.8012568735271013,0.790049058149779,0.7863778894800793,0.6704253350241629,0.7120058391658391
19,SVC,ui,0.11320754716981132,0.11320754716981132,0.8867924528301887,0.8882550612863241,0.8867924528301887,0.8873345946238995,0.8716788321167883,0.8788690476190476,0.8750460472997863
20,SVC,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
21,SVC,c,0.4025157232704403,0.25,0.8262578616352201,0.830399450132662,0.8262578616352201,0.8208444191299691,0.840808872524364,0.7639591516503894,0.7935443842328849
22,SVC,i,0.303078137332281,0.2067876874506709,0.8413575374901342,0.8418974676934977,0.8413575374901342,0.8400832239530773,0.8439065104379506,0.8170002112535047,0.8286998104141724
23,SVC,a,0.17374213836477986,0.1501572327044025,0.8616352201257862,0.8466122720384393,0.8616352201257862,0.8540493319572191,0.5718407346491228,0.5812886082065086,0.5765200598693573
24,RF,av,0.20316205533596837,0.14308300395256918,0.8806324110671937,0.8729824506622743,0.8806324110671937,0.8739092376797941,0.6769923560822179,0.4818657937806874,0.5202598769430051
25,RF,ac,0.07311320754716981,0.07311320754716981,0.9268867924528302,0.911171948920415,0.9268867924528302,0.9122214767464781,0.7736026629153375,0.6157114127702363,0.6554582443795272
26,RF,pr,0.6637863315003928,0.35742340926944227,0.795758051846033,0.7904467716768443,0.795758051846033,0.7847265686642856,0.7783323430382255,0.6646380139607682,0.705454961996235
27,RF,ui,0.11320754716981132,0.11320754716981132,0.8867924528301887,0.8882550612863241,0.8867924528301887,0.8873345946238995,0.8716788321167883,0.8788690476190476,0.8750460472997863
28,RF,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
29,RF,c,0.3828616352201258,0.23820754716981132,0.8341194968553459,0.8342020526616857,0.8341194968553459,0.8308228392223029,0.8334128382584951,0.7858321403523072,0.8057372828836277
30,RF,i,0.31097079715864245,0.21152328334648776,0.8382004735595896,0.8385350167248626,0.8382004735595896,0.8368191919722151,0.8400665080859538,0.8119653277075211,0.8241081399958304
31,RF,a,0.17767295597484276,0.15251572327044025,0.860062893081761,0.8470678356390405,0.860062893081761,0.8535084183662066,0.5720671179521073,0.5801825143371887,0.5760909448274387
32,XGB,av,0.19446640316205532,0.14071146245059288,0.8806324110671937,0.876511615511246,0.8806324110671937,0.8764473786574275,0.7079751782989193,0.5635679214402618,0.5951529322662336
33,XGB,ac,0.07311320754716981,0.07311320754716981,0.9268867924528302,0.911171948920415,0.9268867924528302,0.9122214767464781,0.7736026629153375,0.6157114127702363,0.6554582443795272
34,XGB,pr,0.6543597800471328,0.3511390416339356,0.800471327572663,0.7975430559526262,0.800471327572663,0.7890573336872284,0.8061233870334868,0.6604073985216666,0.7081759357276693
35,XGB,ui,0.11320754716981132,0.11320754716981132,0.8867924528301887,0.8882550612863241,0.8867924528301887,0.8873345946238995,0.8716788321167883,0.8788690476190476,0.8750460472997863
36,XGB,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
37,XGB,c,0.3828616352201258,0.23820754716981132,0.8341194968553459,0.8343968236071764,0.8341194968553459,0.8307124169765064,0.8341471270190448,0.7851052710232126,0.8054859347206849
38,XGB,i,0.2983425414364641,0.20363062352012629,0.8437253354380426,0.8436299908172541,0.8437253354380426,0.8426806219123593,0.8432653579032924,0.8206635918269023,0.8307053478034931
39,XGB,a,0.17531446540880502,0.15172955974842767,0.860062893081761,0.8478263123558557,0.860062893081761,0.8538053582085189,0.5712489265120845,0.5818531585174095,0.5764348433749582
40,GNB,av,0.19446640316205532,0.14387351778656127,0.8766798418972332,0.8755292804390928,0.8766798418972332,0.8759479116667411,0.5124346622247986,0.5191325695581015,0.5152037272993499
41,GNB,ac,0.07625786163522012,0.07625786163522012,0.9237421383647799,0.9066381161804884,0.9237421383647799,0.9098641463811539,0.7464004346644934,0.6140020110608345,0.6498344018458447
42,GNB,pr,0.6575019638648861,0.3558523173605656,0.7949725058915946,0.7918308760222263,0.7949725058915946,0.7818582582035458,0.7966066516629157,0.6333137973974935,0.6794171221288212
43,GNB,ui,0.10770440251572327,0.10770440251572327,0.8922955974842768,0.8926529672032573,0.8922955974842768,0.8900915455827183,0.8938481052798477,0.8627976190476191,0.8753496902411477
44,GNB,s,0.05590551181102362,0.05590551181102362,0.9440944881889763,0.9427273778185354,0.9440944881889763,0.9429702747020985,0.9157106728788669,0.8835497835497835,0.8985370749826431
45,GNB,c,0.3938679245283019,0.24449685534591195,0.8301886792452831,0.8322164335282101,0.8301886792452831,0.8252027170869333,0.837894684394841,0.7706689269623901,0.7972470476840315
46,GNB,i,0.3022888713496448,0.20599842146803474,0.8421468034727704,0.8421794104076868,0.8421468034727704,0.8410097898754971,0.84160914012406,0.8189976765120218,0.8290128183708223
47,GNB,a,0.1690251572327044,0.14858490566037735,0.8616352201257862,0.8480251657461176,0.8616352201257862,0.8547753481921584,0.5723018274898949,0.5812886082065086,0.5767597377465923
