,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.21243115656963021,0.16837136113296616,0.8505114083398898,0.8398774035963592,0.8505114083398898,0.8376298666651457,0.6006349782293179,0.42788693775233133,0.4560259283685699
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.37077769049489395,0.2356637863315004,0.8318931657501963,0.8310903618415271,0.8318931657501963,0.8313344513315192,0.8081060070671379,0.8002606800990718,0.8039571402239827
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.19010212097407697,0.16967792615868027,0.8405341712490181,0.8458305484070054,0.8405341712490181,0.8356785610192677,0.780960694157347,0.6023099785445464,0.6136531101567225
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.2187254130605822,0.16365066876475218,0.8599527930763179,0.856383075613736,0.8599527930763179,0.8457797577393942,0.6771684500648508,0.4306445742188957,0.4642688097324189
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.3417322834645669,0.24566929133858267,0.8023622047244094,0.8072077998678633,0.8023622047244094,0.8038139146243672,0.779150117537442,0.797539756841974,0.7872404438440617
15,", KNN, DT, SVC, RF, XGB, GNB",DT,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
16,", KNN, DT, SVC, RF, XGB, GNB",SVC,av,0.2187254130605822,0.16365066876475218,0.8599527930763179,0.856383075613736,0.8599527930763179,0.8457797577393942,0.6771684500648508,0.4306445742188957,0.4642688097324189
17,", KNN, DT, SVC, RF, XGB, GNB",SVC,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
18,", KNN, DT, SVC, RF, XGB, GNB",SVC,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
19,", KNN, DT, SVC, RF, XGB, GNB",SVC,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
20,", KNN, DT, SVC, RF, XGB, GNB",SVC,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
21,", KNN, DT, SVC, RF, XGB, GNB",SVC,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
22,", KNN, DT, SVC, RF, XGB, GNB",SVC,i,0.3417322834645669,0.24566929133858267,0.8023622047244094,0.8072077998678633,0.8023622047244094,0.8038139146243672,0.779150117537442,0.797539756841974,0.7872404438440617
23,", KNN, DT, SVC, RF, XGB, GNB",SVC,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
24,", KNN, DT, SVC, RF, XGB, GNB",RF,av,0.2218725413060582,0.16522423288749016,0.8591660110149488,0.8562201639933928,0.8591660110149488,0.8452041566385002,0.6770071878612246,0.4298657580195187,0.46369903636852794
25,", KNN, DT, SVC, RF, XGB, GNB",RF,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
26,", KNN, DT, SVC, RF, XGB, GNB",RF,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
27,", KNN, DT, SVC, RF, XGB, GNB",RF,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
28,", KNN, DT, SVC, RF, XGB, GNB",RF,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
29,", KNN, DT, SVC, RF, XGB, GNB",RF,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
30,", KNN, DT, SVC, RF, XGB, GNB",RF,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
31,", KNN, DT, SVC, RF, XGB, GNB",RF,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
32,", KNN, DT, SVC, RF, XGB, GNB",XGB,av,0.21951219512195122,0.16443745082612116,0.8591660110149488,0.8514994716251788,0.8591660110149488,0.8450542933887157,0.6145071878612246,0.4298657580195187,0.4617149093844009
33,", KNN, DT, SVC, RF, XGB, GNB",XGB,ac,0.07462686567164178,0.07462686567164178,0.9253731343283582,0.9110816860149049,0.9253731343283582,0.913160586331234,0.7732341709187767,0.6376574348029943,0.6775694331503468
34,", KNN, DT, SVC, RF, XGB, GNB",XGB,pr,0.7040816326530612,0.37598116169544743,0.7880690737833596,0.792867654241666,0.7880690737833596,0.7796808115774592,0.8248221686200221,0.6472359510359734,0.6950899588541147
35,", KNN, DT, SVC, RF, XGB, GNB",XGB,ui,0.13971742543171115,0.13971742543171115,0.8602825745682888,0.8595025992571643,0.8602825745682888,0.8598101202232523,0.8465680086810169,0.8419113630901662,0.844140384446204
36,", KNN, DT, SVC, RF, XGB, GNB",XGB,s,0.062058130400628436,0.062058130400628436,0.9379418695993715,0.9366852447290731,0.9379418695993715,0.9371025508178374,0.9023793857699216,0.8811794038122994,0.8912757453460803
37,", KNN, DT, SVC, RF, XGB, GNB",XGB,c,0.373134328358209,0.23644933228593873,0.8318931657501963,0.8309975514546888,0.8318931657501963,0.8313688261500952,0.8076438420465881,0.8006389691118775,0.8040520135382213
38,", KNN, DT, SVC, RF, XGB, GNB",XGB,i,0.33858267716535434,0.2440944881889764,0.8031496062992126,0.8039338460809893,0.8031496062992126,0.8032637807755352,0.7896485671892206,0.7838877444696193,0.7863726999652826
39,", KNN, DT, SVC, RF, XGB, GNB",XGB,a,0.18224666142969365,0.15239591516103693,0.8625294579732914,0.8637321659710274,0.8625294579732914,0.8549179889157137,0.804443549518433,0.6033510956350462,0.6255159997892623
