,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.18735177865612648,0.13517786561264822,0.8869565217391304,0.8779741343105563,0.8869565217391304,0.8813851286965085,0.6063600485731634,0.5217639782348263,0.5502016005315732
1,KNN,ac,0.06839622641509434,0.06839622641509434,0.9316037735849056,0.9207391358565966,0.9316037735849056,0.9233732842846407,0.7787038718962651,0.6701877133105802,0.7081761006289309
2,KNN,pr,0.6284367635506677,0.33935585231736054,0.805184603299293,0.8059143685341095,0.805184603299293,0.7973239655890847,0.8178521459230813,0.6716610591268815,0.7159527140434382
3,KNN,ui,0.12578616352201258,0.12578616352201258,0.8742138364779874,0.876055799157147,0.8742138364779874,0.8703880351454476,0.8803608514654158,0.8365179417459729,0.8525046382189239
4,KNN,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
5,KNN,c,0.3977987421383648,0.2468553459119497,0.8286163522012578,0.8343197073757109,0.8286163522012578,0.8236892103383254,0.849655534430345,0.7642250003302432,0.7972464096156201
6,KNN,i,0.3780584056827151,0.24704025256511444,0.8184688239936859,0.8191972176291249,0.8184688239936859,0.8165992818760827,0.8200441785909766,0.7861141329903297,0.8003516797107649
7,KNN,a,0.15487421383647798,0.13128930817610063,0.8805031446540881,0.8665781303097866,0.8805031446540881,0.8718134454222134,0.5898562343006787,0.5893409715751573,0.5884164851987044
8,DT,av,0.19051383399209487,0.13517786561264822,0.8885375494071146,0.885002041043044,0.8885375494071146,0.8841074205633753,0.7923044242544716,0.6513435597578707,0.6935380285648775
9,DT,ac,0.06682389937106918,0.06682389937106918,0.9331761006289309,0.9212298749827006,0.9331761006289309,0.9212686121566773,0.8048084759576202,0.6436006825938566,0.6891808368429374
10,DT,pr,0.622152395915161,0.3362136684996072,0.8067556952081697,0.8074727707802383,0.8067556952081697,0.7988860488482701,0.819207163973383,0.6729863996374433,0.7172908442998543
11,DT,ui,0.12578616352201258,0.12578616352201258,0.8742138364779874,0.876055799157147,0.8742138364779874,0.8703880351454476,0.8803608514654158,0.8365179417459729,0.8525046382189239
12,DT,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
13,DT,c,0.39544025157232704,0.24449685534591195,0.8309748427672956,0.8296303016787201,0.8309748427672956,0.8294699704889678,0.8175357079768845,0.79375352471185,0.8046798028018776
14,DT,i,0.39068666140489344,0.2517758484609313,0.8176795580110497,0.8192586766889568,0.8176795580110497,0.8159041273089488,0.8203635270737183,0.785589945354125,0.8001100320103826
