,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.1826086956521739,0.13201581027667983,0.8901185770750988,0.8880885715423412,0.8901185770750988,0.8852973773131878,0.851394772243252,0.5898729525938007,0.6615678615678615
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.06682389937106918,0.06682389937106918,0.9331761006289309,0.9212298749827006,0.9331761006289309,0.9212686121566773,0.8048084759576202,0.6436006825938566,0.6891808368429374
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.589159465828751,0.32050274941084056,0.8138256087981147,0.8126048606569302,0.8138256087981147,0.8041863891044402,0.818107216061041,0.6732446711215528,0.7188453375210591
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.12028301886792453,0.12028301886792453,0.8797169811320755,0.8786397636253457,0.8797169811320755,0.878346176532874,0.8727878523050032,0.8561570469245664,0.8634525698064146
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.3867924528301887,0.23742138364779874,0.8372641509433962,0.8431407761388179,0.8372641509433962,0.8323006063967489,0.8588034874647265,0.7722704631433266,0.8057747277604048
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.3741120757695343,0.244672454617206,0.8200473559589582,0.8218273161224398,0.8200473559589582,0.8181601975630897,0.8251368888445972,0.7877773183979325,0.8032553047394867
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.14465408805031446,0.12264150943396226,0.8883647798742138,0.873027217859434,0.8883647798742138,0.8801524344956763,0.5923383774310415,0.5973774071920878,0.5945103430355255
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.18814229249011857,0.13438735177865613,0.8893280632411067,0.8891452773588674,0.8893280632411067,0.8838064525157918,0.8870394105654494,0.5882703884912366,0.6605817819787323
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.06918238993710692,0.06918238993710692,0.9308176100628931,0.9171414277546354,0.9308176100628931,0.9168561531918201,0.7949675324675325,0.6240273037542663,0.6674114570953174
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.5883739198743126,0.3197172034564022,0.8146111547525531,0.8141045107763426,0.8146111547525531,0.8050597180977374,0.8236135144839408,0.674155417933939,0.720547424620018
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.12028301886792453,0.12028301886792453,0.8797169811320755,0.8786504578246394,0.8797169811320755,0.8787453677502695,0.8707107843137255,0.8589173155357805,0.8642791240656009
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.3836477987421384,0.2358490566037736,0.8380503144654088,0.8429280602790773,0.8380503144654088,0.833341833391035,0.8566214505335504,0.7749385493479982,0.8069180564488634
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.3796369376479874,0.24704025256511444,0.819258089976322,0.8203071042269977,0.819258089976322,0.8176977780142692,0.8208801466073158,0.7896762916907535,0.8029444373588007
15,", KNN, DT, SVC, RF, XGB, GNB",DT,a,0.1391509433962264,0.11871069182389937,0.8915094339622641,0.8934434119287491,0.8915094339622641,0.8848681144819519,0.925143398545529,0.617633766769288,0.6260760222871741
16,", KNN, DT, SVC, RF, XGB, GNB",SVC,av,0.18814229249011857,0.13438735177865613,0.8893280632411067,0.8891452773588674,0.8893280632411067,0.8838064525157918,0.8870394105654494,0.5882703884912366,0.6605817819787323
17,", KNN, DT, SVC, RF, XGB, GNB",SVC,ac,0.06682389937106918,0.06682389937106918,0.9331761006289309,0.9212298749827006,0.9331761006289309,0.9212686121566773,0.8048084759576202,0.6436006825938566,0.6891808368429374
18,", KNN, DT, SVC, RF, XGB, GNB",SVC,pr,0.5860172820109977,0.31893165750196384,0.8146111547525531,0.8141607263953548,0.8146111547525531,0.8045317415860789,0.8236710745904522,0.6708376125632118,0.7175771719172458
19,", KNN, DT, SVC, RF, XGB, GNB",SVC,ui,0.12028301886792453,0.12028301886792453,0.8797169811320755,0.8786504578246394,0.8797169811320755,0.8787453677502695,0.8707107843137255,0.8589173155357805,0.8642791240656009
20,", KNN, DT, SVC, RF, XGB, GNB",SVC,s,0.050393700787401574,0.050393700787401574,0.9496062992125984,0.9486446670190638,0.9496062992125984,0.9478868456605902,0.9368788142981692,0.8809917929868922,0.9058108057996812
21,", KNN, DT, SVC, RF, XGB, GNB",SVC,c,0.3860062893081761,0.23663522012578617,0.8380503144654088,0.8441398492232811,0.8380503144654088,0.8330504341520595,0.8601996802040958,0.7727221343267051,0.8065263058745921
