ID,text,response,av,ac,pr,ui,s,c,i,a
CVE-2016-0002,"Memory Corruption Vulnerability in Microsoft's VBScript 5.7 and 5.8 and JScript 5.7 and 5.8 engines, as used in Internet Explorer 8 through 11 and other products, causes arbitrary code execution when a remote attacker utilizes a crafted website as the attack vector.","av: N, ac: L, pr: H, ui: N, s: U, c: H, i: H, a: H",N,L,H,N,U,H,H,H
CVE-2016-0003,"Memory Corruption in Microsoft Edge causes arbitrary code execution when exploited by remote attackers via unspecified vectors, also known as ""Microsoft Edge Memory Corruption Vulnerability.""","av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
CVE-2016-0005,"An Elevation of Privilege vulnerability in Microsoft Internet Explorer versions 9 through 11 causes unauthorized access and potential data breach when remote attackers bypass the Same Origin Policy using unspecified vectors, also known as ""Internet Explorer Elevation of Privilege Vulnerability.""","av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
CVE-2016-0006,"Improper handling of reparse points in the sandbox implementation of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 causes elevation of privilege when a locally executed crafted application is used as an attack vector. This issue, also known as ""Windows Mount Point Elevation of Privilege Vulnerability,"" allows local users to gain unauthorized access and control, presenting a different vulnerability than CVE-2016-0007.","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0007,"Mishandling of reparse points in the sandbox implementation of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 causes elevation of privilege when a crafted application is used as an attack vector. This issue, also known as ""Windows Mount Point Elevation of Privilege Vulnerability,"" allows local users to gain unauthorized privileges, representing a different vulnerability than CVE-2016-0006.","av: L, ac: L, pr: L, ui: N, s: U, c: H, i: H, a: H",L,L,L,N,U,H,H,H
CVE-2016-0008,"The ASLR protection mechanism bypass in the graphics device interface of Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, and Windows RT Gold and 8.1 causes a security vulnerability when exploited by remote attackers via unspecified vectors. This issue is also known as the ""Windows GDI32.dll ASLR Bypass Vulnerability.""","av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
CVE-2016-0009,"Remote Code Execution problem in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, and Windows 10 Gold and 1511 causes arbitrary code execution when attacked via unspecified vectors, also known as ""Win32k Remote Code Execution Vulnerability.""","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0010,"Memory Corruption in Microsoft Office 2007 SP3, Office 2010 SP2, Office 2013 SP1, Office 2013 RT SP1, Office 2016, Excel for Mac 2011, PowerPoint for Mac 2011, Word for Mac 2011, Excel 2016 for Mac, PowerPoint 2016 for Mac, Word 2016 for Mac, and Word Viewer causes arbitrary code execution when a crafted Office document is opened by a user, also known as ""Microsoft Office Memory Corruption Vulnerability."" This vulnerability allows remote attackers to execute arbitrary code, potentially gaining unauthorized access or control over the system.","av: L, ac: L, pr: N, ui: R, s: U, c: H, i: H, a: H",L,L,N,R,U,H,H,H
CVE-2016-0011,"Cross-site scripting (XSS) vulnerability in Microsoft SharePoint Server 2013 SP1 and SharePoint Foundation 2013 SP1 causes unauthorized access and potential security bypass when a remote authenticated user modifies a webpart. This issue, also known as ""Microsoft SharePoint Security Feature Bypass,"" is a different vulnerability than CVE-2015-6117, and allows users to bypass intended Access Control Policy restrictions, leading to potential unauthorized information access or manipulation.","av: N, ac: L, pr: L, ui: R, s: C, c: L, i: L, a: N",N,L,L,R,C,L,L,N
CVE-2016-0012,"The bypass of the ASLR protection mechanism in Microsoft Office 2007 SP3, Excel 2007 SP3, PowerPoint 2007 SP3, Visio 2007 SP3, Word 2007 SP3, Office 2010 SP2, Excel 2010 SP2, PowerPoint 2010 SP2, Visio 2010 SP2, Word 2010 SP2, Office 2013 SP1, Excel 2013 SP1, PowerPoint 2013 SP1, Visio 2013 SP1, Word 2013 SP1, Excel 2013 RT SP1, PowerPoint 2013 RT SP1, Word 2013 RT SP1, Office 2016, Excel 2016, PowerPoint 2016, Visio 2016, Word 2016, and Visual Basic 6.0 Runtime causes a potential security vulnerability when exploited by remote attackers via unspecified vectors. This issue, also known as ""Microsoft Office ASLR Bypass,"" can potentially allow attackers to compromise the system and perform unauthorized actions.","av: N, ac: L, pr: N, ui: N, s: U, c: H, i: H, a: H",N,L,N,N,U,H,H,H
