ID,text,response,av,ac,pr,ui,s,c,i,a
CVE-2016-0002,MEMORY CORRUPTION in Microsoft VBScript and JScript engines causes EXECUTION OF ARBITRARY CODE when VISITING A CRAFTED WEBSITE. This vulnerability affects Internet Explorer versions 8 through 11 and other products. An attacker can exploit this vulnerability to remotely execute malicious code on a victim's system by tricking them into visiting a specially crafted website.,"av: N
ac: L
pr: N
ui: R
s: U
c: H
i: H
a: H",N,L,N,R,U,H,H,H
CVE-2016-0003,MEMORY CORRUPTION in Microsoft Edge causes arbitrary code execution when exploited by remote attackers. This vulnerability impacts the security of Microsoft Edge browser. Attackers can execute arbitrary code on a victim's system by leveraging unspecified vectors.,"av: N
ac: L
pr: N
ui: R
s: U
c: H
i: H
a: H",N,L,N,R,U,H,H,H
CVE-2016-0005,Elevation of Privilege vulnerability in Microsoft Internet Explorer 9 through 11 allows remote attackers to bypass the Same Origin Policy. This vulnerability can lead to unauthorized access to sensitive information or actions on the affected system. The affected software components are Internet Explorer versions 9 through 11. Attack vectors for exploiting this vulnerability are unspecified.,"av: N
ac: L
pr: N
ui: R
s: U
c: H
i: H
a: H",N,L,N,R,U,H,H,H
CVE-2016-0006,"Privilege escalation in the sandbox implementation in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 allows local users to gain elevated privileges. This vulnerability occurs due to mishandling of reparse points. An attacker can exploit this vulnerability by using a crafted application. This vulnerability is known as ""Windows Mount Point Elevation of Privilege Vulnerability"" and is different from CVE-2016-0007.","av: L
ac: L
pr: N
ui: N
s: U
c: H
i: H
a: H",L,L,N,N,U,H,H,H
CVE-2016-0007,"Privilege escalation in the sandbox implementation in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, Windows RT Gold and 8.1, and Windows 10 Gold and 1511 allows local users to gain privileges via a crafted application. This vulnerability, known as ""Windows Mount Point Elevation of Privilege Vulnerability,"" is due to mishandling of reparse points. An attacker could exploit this vulnerability to elevate their privileges on the affected system.","av: L
ac: L
pr: N
ui: N
s: U
c: H
i: H
a: H",L,L,N,N,U,H,H,H
CVE-2016-0008,"ASLR Bypass in Windows GDI32.dll component allows remote attackers to bypass the Address Space Layout Randomization (ASLR) protection mechanism in Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, Windows 8, Windows 8.1, Windows Server 2012 Gold and R2, and Windows RT Gold and 8.1. This vulnerability enables attackers to potentially execute arbitrary code or escalate privileges on the affected system. The attack vector for this vulnerability is unspecified, making it difficult to determine the exact method of exploitation.","av: N
ac: H
pr: N
ui: R
s: U
c: H
i: H
a: H",N,H,N,R,U,H,H,H
CVE-2016-0009,"REMOTE CODE EXECUTION in Win32k component causes arbitrary code execution when exploited by remote attackers. This vulnerability affects Microsoft Windows Vista SP2, Windows Server 2008 SP2 and R2 SP1, Windows 7 SP1, and Windows 10 Gold and 1511. Attackers can execute arbitrary code through unspecified vectors, posing a significant risk to the security and integrity of the affected systems.","av: N
ac: L
pr: N
ui: N
s: U
c: H
i: H
a: H",N,L,N,N,U,H,H,H
CVE-2016-0010,"MEMORY CORRUPTION in Microsoft Office 2007 SP3, Office 2010 SP2, Office 2013 SP1, Office 2013 RT SP1, Office 2016, Excel for Mac 2011, PowerPoint for Mac 2011, Word for Mac 2011, Excel 2016 for Mac, PowerPoint 2016 for Mac, Word 2016 for Mac, and Word Viewer allows remote attackers to execute arbitrary code via a crafted Office document. This vulnerability can lead to unauthorized access, data theft, and potential system compromise. Attackers can exploit this vulnerability by enticing users to open a malicious Office document, leading to the execution of arbitrary code on the victim's system.","av: N
ac: L
pr: N
ui: R
s: U
c: H
i: H
a: H",N,L,N,R,U,H,H,H
CVE-2016-0011,"Cross-site scripting (XSS) vulnerability in Microsoft SharePoint Server 2013 SP1 and SharePoint Foundation 2013 SP1 allows remote authenticated users to bypass Access Control Policy restrictions. By modifying a webpart, attackers can conduct XSS attacks, leading to potential security breaches. This vulnerability, known as ""Microsoft SharePoint Security Feature Bypass,"" affects the mentioned software components and can be exploited by authenticated users. The impact of this vulnerability includes unauthorized access to sensitive information, data manipulation, and potential compromise of the SharePoint environment.","av: N
ac: L
pr: L
ui: N
s: U
c: H
i: H
a: H",N,L,L,N,U,H,H,H
CVE-2016-0012,"ASLR Bypass in Microsoft Office versions 2007 SP3, 2010 SP2, 2013 SP1, 2013 RT SP1, 2016, Excel, PowerPoint, Visio, Word, and Visual Basic 6.0 Runtime allows remote attackers to bypass the Address Space Layout Randomization (ASLR) protection mechanism. This vulnerability can be exploited through unspecified vectors, leading to potential security risks.","av: N
ac: L
pr: N
ui: R
s: U
c: H
i: H
a: H",N,L,N,R,U,H,H,H
