,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.1998426435877262,0.15420928402832415,0.8662470495672698,0.8658921828839624,0.8662470495672698,0.8586538872156277,0.9122237915341364,0.5579225300383129,0.6277633464147693
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.1695447409733124,0.1695447409733124,0.8304552590266876,0.84629534702421,0.8304552590266876,0.8194939932153206,0.8624149659863946,0.777828331204768,0.7971845933874795
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.1720345640219953,0.1720345640219953,0.8279654359780048,0.6855267631742474,0.8279654359780048,0.7500434632753047,0.4139827179890024,0.5,0.4529437043403524
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.3904163393558523,0.24901806755695208,0.821681068342498,0.8252235636003082,0.821681068342498,0.8122274929739052,0.8298838257550188,0.739920503374023,0.7682710582668243
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.3826771653543307,0.25826771653543307,0.8039370078740158,0.8279257359759103,0.8039370078740158,0.7980822327693204,0.8379495928250987,0.7693608823311179,0.7870552478298953
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.1841070023603462,0.14791502753737215,0.8693941778127459,0.8709123825452825,0.8693941778127459,0.8632984593435363,0.9107182372551794,0.5651497166876206,0.6310340177983885
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
10,", KNN, DT, SVC, RF, XGB, GNB",DT,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
11,", KNN, DT, SVC, RF, XGB, GNB",DT,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
12,", KNN, DT, SVC, RF, XGB, GNB",DT,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
13,", KNN, DT, SVC, RF, XGB, GNB",DT,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
14,", KNN, DT, SVC, RF, XGB, GNB",DT,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
15,", KNN, DT, SVC, RF, XGB, GNB",DT,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
16,", KNN, DT, SVC, RF, XGB, GNB",SVC,av,0.1841070023603462,0.14791502753737215,0.8693941778127459,0.8709123825452825,0.8693941778127459,0.8632984593435363,0.9107182372551794,0.5651497166876206,0.6310340177983885
17,", KNN, DT, SVC, RF, XGB, GNB",SVC,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
18,", KNN, DT, SVC, RF, XGB, GNB",SVC,pr,0.6459968602825745,0.34301412872841447,0.8084772370486656,0.8083956373554094,0.8084772370486656,0.8009843130724408,0.8286805192063255,0.6818105571578995,0.7304026524377453
19,", KNN, DT, SVC, RF, XGB, GNB",SVC,ui,0.14521193092621665,0.14521193092621665,0.8547880690737834,0.8536771966540238,0.8547880690737834,0.8529617308843465,0.8495882407259723,0.8324074074074075,0.8395167731493429
20,", KNN, DT, SVC, RF, XGB, GNB",SVC,s,0.07148468185388845,0.07148468185388845,0.9285153181461115,0.9291959713035559,0.9285153181461115,0.9288337511593536,0.8723614326569522,0.8790560855362914,0.8756554379479385
21,", KNN, DT, SVC, RF, XGB, GNB",SVC,c,0.35978004713275724,0.23095051060487037,0.8334642576590731,0.8318576981398353,0.8334642576590731,0.832462955924057,0.8050630768437085,0.7933468277741027,0.798960681412591
22,", KNN, DT, SVC, RF, XGB, GNB",SVC,i,0.36299212598425196,0.24803149606299213,0.8094488188976378,0.8234583671916484,0.8094488188976378,0.8047634335102896,0.8302940557771151,0.77700367991294,0.792861537710429
23,", KNN, DT, SVC, RF, XGB, GNB",SVC,a,0.1814611154752553,0.15946582875098192,0.8515318146111548,0.8585863121968744,0.8515318146111548,0.8423189163856487,0.9085405493255322,0.5886539563768746,0.6164763061968408
24,", KNN, DT, SVC, RF, XGB, GNB",RF,av,0.1872541306058222,0.14948859166011014,0.8686073957513769,0.8650917968642965,0.8686073957513769,0.8645408564336109,0.8002320771359916,0.5870891742888429,0.6516167611548709
25,", KNN, DT, SVC, RF, XGB, GNB",RF,ac,0.05813040062843677,0.05813040062843677,0.9418695993715632,0.93155125381858,0.9418695993715632,0.9338307690706988,0.781527940186386,0.6590972806279787,0.7000700458481917
