,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
1,KNN,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
2,KNN,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
3,KNN,ui,0.13736263736263737,0.13736263736263737,0.8626373626373627,0.8614395449838487,0.8626373626373627,0.8608481082755961,0.8564619471792467,0.8383360302049623,0.845977416468914
4,KNN,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
5,KNN,c,0.3605655930871956,0.22859387274155538,0.8373919874312648,0.8375346788520265,0.8373919874312648,0.8350624443204249,0.8294336896458138,0.798622293608329,0.8110815083549058
6,KNN,i,0.3921259842519685,0.2677165354330709,0.794488188976378,0.8005801463753909,0.794488188976378,0.7911707423235843,0.7902951011741469,0.7699634820675315,0.7739363839929613
7,KNN,a,0.20738413197172034,0.16967792615868027,0.8491751767478397,0.8530745211880809,0.8491751767478397,0.8407053331666955,0.7983110876946493,0.592787630774418,0.6136238779385291
8,DT,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
9,DT,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
10,DT,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
11,DT,ui,0.13736263736263737,0.13736263736263737,0.8626373626373627,0.8614395449838487,0.8626373626373627,0.8608481082755961,0.8564619471792467,0.8383360302049623,0.845977416468914
12,DT,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
13,DT,c,0.3605655930871956,0.22859387274155538,0.8373919874312648,0.8375346788520265,0.8373919874312648,0.8350624443204249,0.8294336896458138,0.798622293608329,0.8110815083549058
14,DT,i,0.37086614173228344,0.26535433070866143,0.7874015748031497,0.7942202215360304,0.7874015748031497,0.789098665761459,0.7693307205231547,0.7832145899665738,0.7747428564167187
15,DT,a,0.20738413197172034,0.16967792615868027,0.8491751767478397,0.8530745211880809,0.8491751767478397,0.8407053331666955,0.7983110876946493,0.592787630774418,0.6136238779385291
16,SVC,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
17,SVC,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
18,SVC,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
