,Estimator,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.1533596837944664,0.1233201581027668,0.8909090909090909,0.8911328594022523,0.8909090909090909,0.8880157479625332,0.8832385200220786,0.6430002840889995,0.7092202122428332
1,KNN,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
2,KNN,pr,0.5781618224666143,0.30950510604870385,0.8248232521602514,0.8261429238257616,0.8248232521602514,0.815614660310173,0.849320054918425,0.6971945988547393,0.748445608782435
3,KNN,ui,0.12657232704402516,0.12657232704402516,0.8734276729559748,0.8727840359636528,0.8734276729559748,0.8717906042777108,0.8703601264393768,0.8516548890979105,0.8594603423180204
4,KNN,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
5,KNN,c,0.389937106918239,0.2358490566037736,0.8411949685534591,0.8404092904372391,0.8411949685534591,0.8371920422864555,0.836840612899382,0.7756972094997104,0.8015848495864094
6,KNN,i,0.2936069455406472,0.2052091554853986,0.8389897395422258,0.838788241212545,0.8389897395422258,0.8385614919717764,0.8336563584014985,0.8284758714006357,0.8307732792357392
7,KNN,a,0.16430817610062892,0.1391509433962264,0.8734276729559748,0.8756511725749553,0.8734276729559748,0.8661466103116829,0.912690805913753,0.6035464203790897,0.6111270122237058
8,DT,av,0.16284584980237155,0.12648221343873517,0.8901185770750988,0.8874941406892359,0.8901185770750988,0.8865410112373551,0.7802628872675312,0.629838083421691,0.6698754998357143
9,DT,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
10,DT,pr,0.5758051846032993,0.3087195600942655,0.8248232521602514,0.8256207115173956,0.8248232521602514,0.815593708314969,0.8445079243201309,0.6971945988547393,0.7473564886982557
11,DT,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
12,DT,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
13,DT,c,0.39072327044025157,0.23663522012578617,0.8404088050314465,0.8396679130133504,0.8404088050314465,0.836236946958502,0.8361113503961736,0.7734584418488759,0.7998517908533908
14,DT,i,0.31412786108918705,0.21468034727703236,0.835043409629045,0.835247143176332,0.835043409629045,0.8345583589634437,0.8290761749537673,0.8231009144002918,0.8255525141105048
15,DT,a,0.1580188679245283,0.13443396226415094,0.8773584905660378,0.8750639942941155,0.8773584905660378,0.8717400352073468,0.833635520323832,0.6310371309375293,0.6577730348281473
16,SVC,av,0.16521739130434782,0.12569169960474308,0.891699604743083,0.889844894544247,0.891699604743083,0.8874719877567613,0.7942444080741954,0.5799922450425055,0.6318799170348497
17,SVC,ac,0.06446540880503145,0.06446540880503145,0.9355345911949685,0.9285890900791235,0.9355345911949685,0.9196328309131553,0.8756048387096774,0.6248868778280543,0.6770174026134885
18,SVC,pr,0.589159465828751,0.3157894736842105,0.8208955223880597,0.8219327298663097,0.8208955223880597,0.8111223444176643,0.8445477845398887,0.6881107227529425,0.7394781785860379
19,SVC,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8710239935563613,0.8694968553459119,0.866327451009686,0.8744027868469805,0.8395678074427804,0.8523028368218866
20,SVC,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
21,SVC,c,0.39308176100628933,0.23742138364779874,0.8404088050314465,0.840266864569405,0.8404088050314465,0.8357357618869286,0.836999336745675,0.7689312702613705,0.7969194454748544
