,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
1,KNN,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
2,KNN,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
3,KNN,ui,0.3532182103610675,0.3532182103610675,0.6467817896389325,0.41832668340854035,0.6467817896389325,0.5080535697449766,0.32339089481946626,0.5,0.39275500476644426
4,KNN,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
5,KNN,c,0.3692065985860173,0.23095051060487037,0.8381775333857031,0.8394961141691062,0.8381775333857031,0.83753867432219,0.8194748637809135,0.8084766211312294,0.8121201450338523
6,KNN,i,0.37086614173228344,0.26535433070866143,0.7874015748031497,0.7942202215360304,0.7874015748031497,0.789098665761459,0.7693307205231547,0.7832145899665738,0.7747428564167187
7,KNN,a,0.206598586017282,0.17046347211311863,0.8476040848389631,0.8368880726500523,0.8476040848389631,0.8368274144484982,0.5740231990231991,0.5671466051333923,0.5667943515252651
8,DT,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
9,DT,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
10,DT,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
11,DT,ui,0.13736263736263737,0.13736263736263737,0.8626373626373627,0.8614395449838487,0.8626373626373627,0.8608481082755961,0.8564619471792467,0.8383360302049623,0.845977416468914
12,DT,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
13,DT,c,0.3440691280439906,0.21681068342498036,0.8468185388845247,0.8460845822858728,0.8468185388845247,0.845706640261505,0.8317163075317597,0.8150378503882959,0.822475389283975
14,DT,i,0.3724409448818898,0.2669291338582677,0.7858267716535433,0.7927728646977608,0.7858267716535433,0.7876094950074989,0.7670657403971538,0.7815520795758838,0.7727781854197816
15,DT,a,0.21052631578947367,0.17124901806755696,0.8483896307934015,0.8384762869960023,0.8483896307934015,0.8376590229454057,0.5755092554616793,0.5676102119947739,0.5675116109898718
16,SVC,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
17,SVC,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
18,SVC,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
