,Model,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,KNN,av,0.1992094861660079,0.13754940711462452,0.8877470355731225,0.885384801137069,0.8877470355731225,0.885301051069042,0.5835074797305013,0.527690964943842,0.5350435388959651
1,KNN,ac,0.06289308176100629,0.06289308176100629,0.9371069182389937,0.9308684122290974,0.9371069182389937,0.9222716730395538,0.8818777915043239,0.6346907993966817,0.6892710572601134
2,KNN,pr,2.612725844461901,1.3275726630007856,0.3150039277297722,0.4009955301382031,0.3150039277297722,0.22492024184396234,0.5272476070040362,0.4637023111808089,0.38191846789829714
3,KNN,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8710239935563613,0.8694968553459119,0.866327451009686,0.8744027868469805,0.8395678074427804,0.8523028368218866
4,KNN,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
5,KNN,c,0.3828616352201258,0.2586477987421384,0.8034591194968553,0.8017305148157239,0.8034591194968553,0.8009605908108164,0.7738965962768374,0.7397656733422435,0.7545274162561421
6,KNN,i,0.31097079715864245,0.21468034727703236,0.8334648776637726,0.8356613910101686,0.8334648776637726,0.8320839913135548,0.8451162464902698,0.8061710435001147,0.8224632852136086
7,KNN,a,0.16745283018867924,0.14072327044025157,0.8726415094339622,0.8559326115255305,0.8726415094339622,0.864144816326024,0.5795232594041956,0.5887346237943848,0.5840487469721916
8,DT,av,0.2126482213438735,0.1383399209486166,0.8909090909090909,0.8936667357249153,0.8909090909090909,0.8887339077427091,0.6869390202124015,0.6288416049931738,0.5881098716154729
9,DT,ac,0.06289308176100629,0.06289308176100629,0.9371069182389937,0.9308684122290974,0.9371069182389937,0.9222716730395538,0.8818777915043239,0.6346907993966817,0.6892710572601134
10,DT,pr,0.5875883739198743,0.3173605655930872,0.8177533385703064,0.8166993379956203,0.8177533385703064,0.8067997254077791,0.8246301394120866,0.6759341839625662,0.7244491978843728
11,DT,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
12,DT,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
13,DT,c,0.4606918238993711,0.27044025157232704,0.824685534591195,0.8287829953418342,0.824685534591195,0.8243384752861113,0.80517810412241,0.7810226117335897,0.7891487239428251
14,DT,i,0.30860299921073403,0.2123125493291239,0.8358326756116812,0.8356848201466778,0.8358326756116812,0.8354028010023484,0.8318790008913378,0.8238503759164856,0.827545903568612
15,DT,a,0.16273584905660377,0.1391509433962264,0.8726415094339622,0.8559413844112167,0.8726415094339622,0.8641705343027833,0.5791347965857444,0.5887346237943848,0.5838665275466995
16,SVC,av,0.2150197628458498,0.14071146245059288,0.8893280632411067,0.8899229088382584,0.8893280632411067,0.8855992060139882,0.6529767644762823,0.6044033618023767,0.5522074308924957
17,SVC,ac,0.06289308176100629,0.06289308176100629,0.9371069182389937,0.9308684122290974,0.9371069182389937,0.9222716730395538,0.8818777915043239,0.6346907993966817,0.6892710572601134
18,SVC,pr,0.596229379418696,0.3197172034564022,0.8185388845247447,0.8209997418233143,0.8185388845247447,0.8080826180161212,0.8524340407208245,0.6778014444024271,0.7313384562970148
19,SVC,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8719758818443718,0.8694968553459119,0.8659287554215012,0.8769621055969559,0.8376705335680807,0.8515752625437574
20,SVC,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
21,SVC,c,0.3891509433962264,0.235062893081761,0.8419811320754716,0.8416092593414526,0.8419811320754716,0.8376948337306321,0.8399059953853919,0.774275831101391,0.8017538022112832
22,SVC,i,0.3022888713496448,0.2091554853985793,0.8374112075769534,0.8376412186615055,0.8374112075769534,0.8366480651831019,0.8331402747661336,0.8228857798297677,0.827229503299741
23,SVC,a,0.15644654088050314,0.1360062893081761,0.8742138364779874,0.8581572397425286,0.8742138364779874,0.8660617681504299,0.5789794291072486,0.5916965136088642,0.585233669093753
24,RF,av,0.20790513833992094,0.1367588932806324,0.891699604743083,0.8944450628091541,0.891699604743083,0.8895182808685137,0.6871959575196986,0.629102565327203,0.5883688048107085
25,RF,ac,0.06367924528301887,0.06367924528301887,0.9363207547169812,0.9297415887598173,0.9363207547169812,0.9209591390775159,0.8788245652652433,0.629788838612368,0.6831880448318804
26,RF,pr,0.596229379418696,0.32128829536527886,0.8161822466614297,0.8148978880621535,0.8161822466614297,0.8055238664938204,0.8233665426713713,0.6776439801329225,0.7258147612910154
27,RF,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8710239935563613,0.8694968553459119,0.866327451009686,0.8744027868469805,0.8395678074427804,0.8523028368218866
28,RF,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
29,RF,c,0.4591194968553459,0.27044025157232704,0.8238993710691824,0.8276417332181331,0.8238993710691824,0.8235673266096043,0.8026071079330155,0.7805947127177575,0.7879544369898329
30,RF,i,0.30465666929755325,0.21152328334648776,0.835043409629045,0.8350000946716873,0.835043409629045,0.8349987235010761,0.8269933058294092,0.8278556814334709,0.8273964424007051
31,RF,a,0.16273584905660377,0.1391509433962264,0.8726415094339622,0.8559057577774248,0.8726415094339622,0.8641311839998059,0.5792769445861045,0.5885038968704307,0.583810110651083
32,XGB,av,0.22213438735177865,0.14150197628458497,0.8901185770750988,0.8942221608075949,0.8901185770750988,0.8885609528050624,0.680460895738316,0.6285806446591444,0.5805732217899349
33,XGB,ac,0.06367924528301887,0.06367924528301887,0.9363207547169812,0.9297415887598173,0.9363207547169812,0.9209591390775159,0.8788245652652433,0.629788838612368,0.6831880448318804
34,XGB,pr,0.5899450117831894,0.31814611154752553,0.8177533385703064,0.8165915459164825,0.8177533385703064,0.8067779072491637,0.8250833786097805,0.6779877435611813,0.7264953295235917
35,XGB,ui,0.13050314465408805,0.13050314465408805,0.8694968553459119,0.8710239935563613,0.8694968553459119,0.866327451009686,0.8744027868469805,0.8395678074427804,0.8523028368218866
36,XGB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
37,XGB,c,0.46462264150943394,0.2727987421383648,0.8231132075471698,0.8272354711508253,0.8231132075471698,0.8228590725713709,0.8027761561197702,0.7801668137019252,0.7876335339999524
38,XGB,i,0.31254932912391475,0.21310181531176006,0.8366219415943172,0.836698981918848,0.8366219415943172,0.8361622924567008,0.8348951731610582,0.8243786379344464,0.829184101072646
39,XGB,a,0.17059748427672955,0.14229559748427673,0.8718553459119497,0.856493006304293,0.8718553459119497,0.8640292043986888,0.5800032743258025,0.5880612231209841,0.5839497177657468
40,GNB,av,0.21106719367588933,0.14782608695652175,0.8814229249011858,0.8812969359125913,0.8814229249011858,0.8812961756332783,0.5752727282459746,0.6146949987953636,0.5913846872248691
41,GNB,ac,0.06289308176100629,0.06289308176100629,0.9371069182389937,0.9308684122290974,0.9371069182389937,0.9222716730395538,0.8818777915043239,0.6346907993966817,0.6892710572601134
42,GNB,pr,0.5703063629222309,0.3110761979575805,0.8185388845247447,0.8133719856315527,0.8185388845247447,0.8092815833070862,0.7937343551330643,0.6807078079322525,0.7205968652488176
43,GNB,ui,0.13364779874213836,0.13364779874213836,0.8663522012578616,0.8658501082728917,0.8663522012578616,0.8642357881799053,0.8642631358025397,0.8418509675292831,0.8508570340799677
44,GNB,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
45,GNB,c,0.3970125786163522,0.2429245283018868,0.8341194968553459,0.8321816742035051,0.8341194968553459,0.8300157674282036,0.8224809415491038,0.7673189467697146,0.7908626682689402
46,GNB,i,0.31097079715864245,0.21468034727703236,0.8334648776637726,0.8337584256293956,0.8334648776637726,0.8329825974464872,0.8267644006227296,0.8239793748844937,0.8247525683887919
47,GNB,a,0.1871069182389937,0.14937106918238993,0.8694968553459119,0.8645431529767149,0.8694968553459119,0.8668838708310121,0.6254743647511662,0.6136256321515285,0.6181250891456282
