,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.2084972462627852,0.16443745082612116,0.8552321007081038,0.8598249035720166,0.8552321007081038,0.8540635399160261,0.8172373862696443,0.6012836210993753,0.6613910320314978
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.932326281187302,0.9371563236449332,0.9151721225562546,0.897594462725519,0.5658213581290504,0.599004599004599
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.6789638932496075,0.35714285714285715,0.8037676609105181,0.8008541923331758,0.8037676609105181,0.7975125311814125,0.80506779594522,0.6882514045774714,0.731231653509924
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.1891679748822606,0.1891679748822606,0.8108320251177394,0.8079802646333257,0.8108320251177394,0.8079894912253763,0.7975238095238095,0.7801321467098166,0.7871442426813805
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.05420267085624509,0.05420267085624509,0.9457973291437549,0.9455122529929761,0.9457973291437549,0.9456462146090602,0.9055540791921339,0.9010564490696942,0.9032837733829704
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.38177533385703066,0.24194815396700706,0.8279654359780048,0.8413247724437952,0.8279654359780048,0.8210411806024044,0.8528209096757484,0.769301335274204,0.7936784320609739
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.4267716535433071,0.29448818897637796,0.7716535433070866,0.7759907383943053,0.7716535433070866,0.7729329827869262,0.7519065478012764,0.7680427656269199,0.7588836546034003
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.20738413197172034,0.16967792615868027,0.8491751767478397,0.8530745211880809,0.8491751767478397,0.8407053331666955,0.7983110876946493,0.592787630774418,0.6136238779385291
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.18646734854445318,0.13611329661683713,0.8859166011014948,0.8806318848259808,0.8859166011014948,0.8797850016417521,0.8365441098492707,0.6010027953601156,0.674918335579259
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.06284367635506677,0.06284367635506677,0.9371563236449332,0.9253777828586863,0.9371563236449332,0.9275641115364047,0.779082952411325,0.6479477787170095,0.6892848425677325
