,Models_0,Model_1,col,MSE,MAE,Accuracy,W_precision,W_recall,W_F1score,M_precision,M_recall,M_F1score
0,", KNN, DT, SVC, RF, XGB, GNB",KNN,av,0.19683794466403162,0.13517786561264822,0.8909090909090909,0.8879112741745184,0.8909090909090909,0.8842613529660054,0.6797771700783483,0.5954944917513362,0.5703734390988201
1,", KNN, DT, SVC, RF, XGB, GNB",KNN,ac,0.06210691823899371,0.06210691823899371,0.9378930817610063,0.9319718604483938,0.9378930817610063,0.9235707415140857,0.8847788428224969,0.6395927601809954,0.6952683626527252
2,", KNN, DT, SVC, RF, XGB, GNB",KNN,pr,0.5781618224666143,0.3110761979575805,0.8224666142969363,0.8217530447694094,0.8224666142969363,0.8131566061967468,0.8313404691796871,0.6929300153880044,0.7405824237594051
3,", KNN, DT, SVC, RF, XGB, GNB",KNN,ui,0.12971698113207547,0.12971698113207547,0.8702830188679245,0.8697803112148228,0.8702830188679245,0.8683563800414831,0.8681014573544636,0.8468232721542902,0.8554878867478922
4,", KNN, DT, SVC, RF, XGB, GNB",KNN,s,0.05275590551181102,0.05275590551181102,0.947244094488189,0.9458560713390443,0.947244094488189,0.9454996062636234,0.9267371718330827,0.873736962190352,0.8974417693675234
5,", KNN, DT, SVC, RF, XGB, GNB",KNN,c,0.38836477987421386,0.23427672955974843,0.8427672955974843,0.8431042267601769,0.8427672955974843,0.8380492439822581,0.84235147468205,0.7711204016263684,0.8003192969388145
6,", KNN, DT, SVC, RF, XGB, GNB",KNN,i,0.2967640094711918,0.20994475138121546,0.8334648776637726,0.8336786365180036,0.8334648776637726,0.8323228674598427,0.8349504317205354,0.8137759176848931,0.8231119975360617
7,", KNN, DT, SVC, RF, XGB, GNB",KNN,a,0.16666666666666666,0.13836477987421383,0.8757861635220126,0.8591372967841463,0.8757861635220126,0.8669541817669651,0.5833682739343117,0.5891209572484473,0.5859252879063387
8,", KNN, DT, SVC, RF, XGB, GNB",DT,av,0.18498023715415018,0.12964426877470356,0.8932806324110671,0.8935262762844431,0.8932806324110671,0.8900030748256997,0.7076874177336365,0.6296244859952614,0.6092176258670571
9,", KNN, DT, SVC, RF, XGB, GNB",DT,ac,0.06446540880503145,0.06446540880503145,0.9355345911949685,0.9285890900791235,0.9355345911949685,0.9196328309131553,0.8756048387096774,0.6248868778280543,0.6770174026134885
